sym,date,period_start_price,period_end_price,20_period_return,ema_3,sma_3,wma_3
AAPL,2023-06-05,179.58,191.33,0.0654304488250362,179.59689772328107,180.20666666666668,180.12166666666667
AAPL,2023-05-31,177.25,193.97,0.09433004231311706,176.46518178624865,176.66,176.96333333333334
AAPL,2023-05-30,177.3,189.59,0.0693175408911449,175.68036357249733,175.24,175.95833333333334
AAPL,2023-05-24,171.84,186.68,0.08635940409683428,172.39290857997855,172.5333333333333,172.14
AAPL,2023-05-23,171.56,187.0,0.08999766845418511,172.94581715995713,173.64,173.04
AAPL,2023-05-22,174.2,183.96,0.056027554535017336,174.33163431991426,174.80333333333337,174.66166666666663
AAPL,2023-05-17,172.69,184.92,0.07082054548613116,172.48307455931405,172.27666666666664,172.38
AAPL,2023-05-16,172.07,186.01,0.0810135410007555,172.27614911862807,172.23666666666668,172.15333333333334
AAPL,2023-05-15,172.07,183.95,0.06904166908816177,172.48229823725615,172.79666666666665,172.51666666666665
AAPL,2023-05-10,173.555,180.96,0.04266658984183689,172.6883858980491,172.9416666666667,172.95083333333332
AAPL,2023-05-09,171.77,180.57,0.05123129766548281,171.82177179609818,172.94666666666663,172.64666666666668
AAPL,2023-05-08,173.5,177.82,0.02489913544668584,171.87354359219637,170.95333333333335,172.23833333333332
AAPL,2023-05-03,167.45,180.95,0.08062108091967753,168.0583487375711,168.52666666666667,168.17
AAPL,2023-05-02,168.54,180.09,0.06852972588109654,168.6666974751422,169.27,169.08
AAPL,2023-05-01,169.59,177.25,0.04516775753287338,168.79339495028438,169.22666666666666,169.42333333333332
AAPL,2023-04-26,163.76,175.43,0.0712628236443577,164.21715960227485,164.28666666666666,164.025
AAPL,2023-04-25,163.77,172.99,0.056298467362764844,164.6743192045497,164.70666666666668,164.49833333333336
AAPL,2023-04-24,165.33,171.84,0.039375793866811774,165.57863840909943,165.66666666666666,165.4466666666667
AAPL,2023-04-19,167.63,175.16,0.04492036031736563,166.61910727279547,166.44333333333336,166.84333333333333
AAPL,2023-04-18,166.47,175.05,0.051540818165435286,165.60821454559095,165.63666666666666,165.84666666666666
AAPL,2023-04-17,165.23,172.69,0.04514918598317502,164.74642909118194,165.33333333333334,165.27833333333334
AAPL,2023-04-12,160.1,172.57,0.0778888194878201,161.07143272945558,160.97666666666666,160.655
AAPL,2023-04-11,160.8,173.75,0.08053482587064668,162.04286545891114,162.49666666666667,161.85333333333335
AAPL,2023-04-10,162.03,173.555,0.07112880330802941,163.28573091782226,163.48333333333332,163.19500000000002
AAPL,2023-04-05,163.76,173.57,0.05990473864191501,164.4229236712891,165.18666666666664,164.785
AAPL,2023-04-04,165.63,165.79,0.0009660085733260677,165.08584734257823,165.56666666666663,165.68833333333333
AAPL,2023-04-03,166.17,167.45,0.007702954805319861,164.54169468515647,164.47666666666666,165.11166666666668
AAPL,2023-03-29,160.77,169.68,0.05542078746034706,159.4935574812518,158.9,159.31500000000003
AAPL,2023-03-28,157.65,168.41,0.06825245797653023,158.21711496250356,158.72666666666666,158.29333333333332
AAPL,2023-03-27,158.28,163.76,0.034622188526661546,158.78422992500708,159.15333333333334,159.045
AAPL,2023-03-22,157.83,165.02,0.04555534435785337,157.72383940005653,158.17,158.24166666666667
AAPL,2023-03-21,159.28,166.65,0.046270718232044226,157.61767880011308,157.22666666666666,157.94000000000003
AAPL,2023-03-20,157.4,167.63,0.06499364675984745,155.95535760022614,156.08333333333334,156.34166666666667
AAPL,2023-03-15,152.99,165.21,0.07987450160141185,152.19286080180925,152.01666666666668,152.43666666666667
AAPL,2023-03-14,152.59,165.56,0.08499901697358934,151.39572160361848,150.52,151.20166666666668
AAPL,2023-03-13,150.47,160.1,0.06399946833255796,150.201443207237,149.85333333333335,149.83333333333334
AAPL,2023-03-07,151.6,164.66,0.0861477572559367,151.41309131579152,152.15333333333334,152.24833333333333
AAPL,2023-03-06,153.83,163.76,0.06455177793668321,151.22618263158304,150.25666666666666,151.57666666666668
AAPL,2023-03-01,145.31,164.9,0.13481522262748608,146.5194610526643,146.88,146.44500000000002
AAPL,2023-02-28,147.41,162.36,0.10141781425954832,147.7289221053286,147.34666666666666,147.46333333333334
AAPL,2023-02-27,147.92,160.77,0.08687128177393201,148.04784421065722,148.01,147.76333333333335
AAPL,2023-02-22,148.91,160.25,0.07615338123698881,149.88275368525785,149.98,149.37333333333333
AAPL,2023-02-21,148.48,158.93,0.07037984913793116,150.85550737051574,151.58,150.70833333333334
AAPL,2023-02-15,155.33,155.0,-0.0021245091096376264,154.11405896412577,154.12666666666667,154.37333333333333
AAPL,2023-02-14,153.2,155.85,0.01729765013054834,152.8981179282515,152.68666666666664,153.05166666666665
AAPL,2023-02-13,153.85,152.99,-0.005589860253493567,152.59623585650303,151.91,152.40666666666667
AAPL,2023-02-08,151.92,148.5,-0.022511848341232148,152.4798868520241,152.76666666666665,152.79833333333332
AAPL,2023-02-07,154.65,150.59,-0.026252828968638876,153.03977370404817,153.62666666666667,153.65166666666667
AAPL,2023-02-06,151.73,152.87,0.007513346075265372,151.42954740809637,152.35,152.50166666666667
AAPL,2023-02-01,145.43,151.03,0.038506497971532654,144.69637926477102,144.24,144.645
AAPL,2023-01-31,144.29,145.91,0.0112273892854668,143.96275852954204,144.40666666666667,144.13333333333333
AAPL,2023-01-30,143.0,145.31,0.01615384615384617,143.63551705908412,144.29666666666665,144.13666666666668
AAPL,2023-01-25,141.86,146.71,0.03418863668405466,141.264136472673,141.83333333333334,141.95833333333334
AAPL,2023-01-24,142.53,149.4,0.04820037886760685,140.668272945346,140.50333333333333,141.28
AAPL,2023-01-23,141.11,148.91,0.05527602579547858,138.80654589069198,138.08333333333334,139.05666666666667
AAPL,2023-01-18,135.21,152.55,0.1282449522964278,135.00236712553573,135.3033333333333,135.37833333333333
AAPL,2023-01-17,135.94,153.71,0.13071943504487282,134.79473425107142,134.70333333333335,135.125
AAPL,2023-01-11,133.49,151.01,0.13124578620121344,131.66787400857152,131.45666666666668,132.01333333333335
AAPL,2023-01-10,130.73,150.87,0.15405798210051264,129.845748017143,130.16666666666666,130.35166666666666
AAPL,2023-01-09,130.15,151.92,0.16726853630426416,128.961496034286,128.26333333333332,129.11833333333334
AAPL,2023-01-04,126.36,154.5,0.22269705603038936,126.83196827428799,127.12,126.52499999999999
AAPL,2023-01-03,125.07,150.82,0.20588470456544336,127.30393654857599,128.20333333333335,127.44666666666667
AAPL,2022-12-28,126.04,145.93,0.15780704538241827,128.6814923886079,129.31,128.34
AAPL,2022-12-27,130.03,143.96,0.1071291240482966,131.32298477721577,131.37333333333333,131.0066666666667
AAPL,2022-12-21,135.45,137.87,0.017866371354743567,134.51387821772593,133.37333333333333,133.88666666666666
AAPL,2022-12-20,132.3,135.27,0.022448979591836723,133.57775643545187,133.06,132.6916666666667
AAPL,2022-12-19,132.37,135.21,0.021455012465060083,134.85551287090377,134.46,133.77166666666668
AAPL,2022-12-14,143.21,134.76,-0.059004259479086774,143.84410296723013,144.39000000000001,144.17666666666665
AAPL,2022-12-13,145.47,133.41,-0.08290369148277997,144.47820593446022,144.04,144.59166666666667
AAPL,2022-12-12,144.49,133.49,-0.07612983597480794,143.48641186892047,143.1,143.40666666666667
